Series Name,Reduced Series Name,1990,2000,2010,,,,,
CO2 intensity,F/E,2.39963380951199,2.39146347617893,2.46705650154456,,,,1000000000000,1000000000000
Energy intensity of the GDP,E/GDP,0.286366111981623,0.198395177827529,0.140640364810552,,,,1000000000000,1000000000000
GDP per capita,GDP/Pop,5558.11979126848,8016.70518839688,12896.3902457367,,,,1000000000000,1000000000000
Population,Pop,5280062644,6114324044,6921854591,,,,1000000000000,1000000000000
CO2 emissions,CO2,20166641278172.2,23256225448337.6,30972746529585.6,,,,,
CO2 emissions (intensity),CO2(i),,-68663885630.293,735118247774.344,,,,,
CO2 emissions (energy),CO2(e),,-6195140408601.03,-6770118946222.82,,,,,
CO2 emissions (gdp),CO2(gdp),,8920536371585.73,14155822516042,,,,1990 – 2000,2000 – 2010
CO2 emissions (population),CO2(pop),,3186373253571.9,3071494464851,,,CO2(i),-0.068663885630293,0.735118247774344
CO2 changes,,,3.08958417016539,7.71652108124799,,,CO2(e),-6.19514040860103,-6.77011894622282
,,,,,,,CO2(gdp),8.92053637158573,14.155822516042
,,,,,,,CO2(pop),3.1863732535719,3.071494464851
